1e-12,4.25731e+22
0.001,42573.1
0.002,10643.3
0.003,4730.35
0.004,2660.81
0.005,1702.92
0.006,1182.58
0.007,868.829
0.008,665.195
0.009,525.584
0.01,425.721
0.011,351.834
0.012,295.636
0.013,251.902
0.014,217.2
0.015,189.204
0.016,166.291
0.017,147.302
0.018,131.388
0.019,117.921
0.02,106.423
0.021,96.5276
0.022,87.9508
0.023,80.4682
0.024,73.9017
0.025,68.1067
0.026,62.9678
0.027,58.3892
0.028,54.2924
0.029,50.6118
0.03,47.2932
0.031,44.2906
0.032,41.5652
0.033,39.0836
0.034,36.8177
0.035,34.7434
0.036,32.8395
0.037,31.0877
0.038,29.4725
0.039,27.98
0.04,26.598
0.041,25.3159
0.042,24.1242
0.043,23.0147
0.044,21.98
0.045,21.0135
0.046,20.1094
0.047,19.2624
0.048,18.4677
0.049,17.7212
0.05,17.019
0.051,16.3577
0.052,15.7343
0.053,15.1457
0.054,14.5896
0.055,14.0635
0.056,13.5654
0.057,13.0932
0.058,12.6453
0.059,12.2199
0.06,11.8156
0.061,11.431
0.062,11.065
0.063,10.7162
0.064,10.3836
0.065,10.0662
0.066,9.7632
0.067,9.47361
0.068,9.19674
0.069,8.93179
0.07,8.67815
0.071,8.43512
0.072,8.20215
0.073,7.9787
0.074,7.76424
0.075,7.55831
0.076,7.36044
0.077,7.17025
0.078,6.9873
0.079,6.81126
0.08,6.64179
0.081,6.47856
0.082,6.32126
0.083,6.16962
0.084,6.02334
0.085,5.88222
0.086,5.74598
0.087,5.61441
0.088,5.4873
0.089,5.36445
0.09,5.24568
0.091,5.13081
0.092,5.01966
0.093,4.91206
0.094,4.80788
0.095,4.707
0.096,4.60923
0.097,4.51448
0.098,4.42261
0.099,4.3335
0.1,4.24706
0.101,4.16317
0.102,4.08175
0.103,4.00267
0.104,3.92587
0.105,3.85126
0.106,3.77874
0.107,3.70826
0.108,3.6397
0.109,3.57305
0.11,3.50819
0.111,3.44508
0.112,3.38365
0.113,3.32384
0.114,3.26561
0.115,3.20889
0.116,3.15362
0.117,3.09977
0.118,3.04728
0.119,2.99612
0.12,2.94622
0.121,2.89756
0.122,2.85008
0.123,2.80376
0.124,2.75856
0.125,2.71443
0.126,2.67136
0.127,2.62929
0.128,2.58821
0.129,2.54808
0.13,2.50887
0.131,2.47056
0.132,2.43311
0.133,2.39651
0.134,2.36072
0.135,2.32572
0.136,2.29151
0.137,2.25803
0.138,2.22526
0.139,2.19322
0.14,2.16185
0.141,2.13115
0.142,2.1011
0.143,2.07167
0.144,2.04286
0.145,2.01464
0.146,1.98699
0.147,1.95992
0.148,1.93338
0.149,1.90738
0.15,1.88189
0.151,1.85692
0.152,1.83243
0.153,1.80843
0.154,1.78488
0.155,1.76179
0.156,1.73915
0.157,1.71694
0.158,1.69514
0.159,1.67376
0.16,1.65277
0.161,1.63218
0.162,1.61196
0.163,1.59212
0.164,1.57264
0.165,1.55351
0.166,1.53473
0.167,1.51628
0.168,1.49816
0.169,1.48037
0.17,1.46288
0.171,1.4457
0.172,1.42883
0.173,1.41224
0.174,1.39594
0.175,1.37991
0.176,1.36416
0.177,1.34867
0.178,1.33345
0.179,1.31848
0.18,1.30376
0.181,1.28928
0.182,1.27504
0.183,1.26103
0.184,1.24725
0.185,1.23369
0.186,1.22035
0.187,1.20723
0.188,1.19431
0.189,1.1816
0.19,1.16909
0.191,1.15677
0.192,1.14464
0.193,1.13271
0.194,1.12096
0.195,1.10938
0.196,1.09799
0.197,1.08677
0.198,1.07572
0.199,1.06483
0.2,1.0541
0.201,1.04354
0.202,1.03314
0.203,1.02288
0.204,1.01278
0.205,1.00282
0.206,0.993012
0.207,0.983345
0.208,0.973814
0.209,0.96442
0.21,0.95516
0.211,0.946033
0.212,0.937034
0.213,0.928159
0.214,0.919412
