1e-12	-4.56e+13
0.1	-455.989
0.2	-227.954
0.3	-151.897
0.4	-113.817
0.5	-90.9135
0.6	-75.5874
0.7	-64.5812
0.8	-56.2665
0.9	-49.7383
1	-44.4538
1.1	-40.0677
1.2	-36.3495
1.3	-33.1399
1.4	-30.3249
1.5	-27.8211
1.6	-25.5658
1.7	-23.5111
1.8	-21.6198
1.9	-19.8623
2	-18.2153
2.1	-16.6597
2.2	-15.1798
2.3	-13.7629
2.4	-12.3981
2.5	-11.0765
2.6	-9.79038
2.7	-8.53334
2.8	-7.29977
2.9	-6.08488
3	-4.8845
3.1	-3.69502
3.2	-2.51326
3.3	-1.33643
3.4	-0.162081
3.5	1.25183
3.6	2.74479
3.7	4.2862
3.8	5.87465
3.9	7.5025
4	9.15658
4.1	10.8192
4.2	12.4692
4.3	14.0833
4.4	15.6368
4.5	17.1055
4.6	18.4659
4.7	19.6968
4.8	20.7795
4.9	21.699
5	22.4435
5.1	23.0057
5.2	23.3819
5.3	23.5726
5.4	23.5819
5.5	23.4171
5.6	23.0888
5.7	22.6099
5.8	21.995
5.9	21.2607
6	20.4241
6.1	19.5029
6.2	18.5149
6.3	17.4773
6.4	16.4066
6.5	15.3185
6.6	14.2272
6.7	13.1454
6.8	12.0845
6.9	11.0541
7	10.0624
7.1	9.11588
7.2	8.21955
7.3	7.37706
7.4	6.59074
7.5	5.86177
7.6	5.19029
7.7	4.57561
7.8	4.01627
7.9	3.51022
8	3.05493
8.1	2.64755
8.2	2.28495
8.3	1.96389
8.4	1.68104
8.5	1.43308
8.6	1.21677
8.7	1.02896
8.8	0.866676
8.9	0.727086
9	0.607569
9.1	0.505702
9.2	0.419273
9.3	0.346276
9.4	0.284915
9.5	0.233597
9.6	0.190937
9.7	0.155763
9.8	0.127146
9.9	0.104458
10	0.0875141
10.1	0.0768372
10.2	0.0742147
10.3	0.0837934
10.4	0.114266
10.5	0.183244
10.6	0.32604
10.7	0.613399
10.8	1.18749
10.9	2.33541
11	4.64004
11.1	9.2917
11.2	18.7351
11.3	38.0209
11.4	77.6432
11.5	159.532
11.6	329.776
11.7	685.783
11.8	1434.58
11.9	3018.62
12	6388.7
12.1	13599.3
12.2	29113.8
12.3	62681.9
12.4	135716
12.5	295496
12.6	646985
